HBName,year,error4,percentage_4
NHS Grampian,2016,15,100
NHS Grampian,2017,6,100
NHS Grampian,2018,10,100
NHS Grampian,2019,5,100
NHS Grampian,2020,3,100
NHS Grampian,2021,3,100
NHS Greater Glasgow and Clyde,1997,1,100
NHS Greater Glasgow and Clyde,1998,1,100
NHS Greater Glasgow and Clyde,2001,6,100
NHS Greater Glasgow and Clyde,2002,6,100
NHS Greater Glasgow and Clyde,2003,4,100
NHS Greater Glasgow and Clyde,2004,4,100
NHS Greater Glasgow and Clyde,2005,3,100
NHS Greater Glasgow and Clyde,2006,4,100
NHS Greater Glasgow and Clyde,2007,7,100
NHS Greater Glasgow and Clyde,2008,14,100
NHS Greater Glasgow and Clyde,2009,8,100
NHS Greater Glasgow and Clyde,2010,35,100
NHS Greater Glasgow and Clyde,2011,50,100
NHS Greater Glasgow and Clyde,2012,40,100
NHS Greater Glasgow and Clyde,2013,13,100
NHS Greater Glasgow and Clyde,2014,11,100
NHS Greater Glasgow and Clyde,2015,42,100
NHS Greater Glasgow and Clyde,2016,32,100
NHS Greater Glasgow and Clyde,2017,40,100
NHS Greater Glasgow and Clyde,2018,18,100
NHS Greater Glasgow and Clyde,2019,82,100
NHS Greater Glasgow and Clyde,2020,59,100
NHS Greater Glasgow and Clyde,2021,39,100
NHS Highland,2006,2,100
NHS Highland,2007,1,100
NHS Highland,2008,1,100
NHS Highland,2009,2,100
NHS Highland,2011,3,100
NHS Highland,2013,1,100
NHS Highland,2014,2,100
NHS Highland,2016,1,100
NHS Highland,2017,2,100
NHS Highland,2018,4,100
NHS Highland,2019,12,100
NHS Highland,2020,1,100
NHS Lanarkshire,1997,1,100
NHS Lanarkshire,1998,1,100
NHS Lanarkshire,1999,1,100
NHS Lanarkshire,2005,5,100
NHS Lanarkshire,2007,1,100
NHS Lanarkshire,2008,1,100
NHS Lanarkshire,2010,2,100
NHS Lanarkshire,2012,4,100
NHS Lanarkshire,2013,3,100
NHS Lanarkshire,2014,7,100
NHS Lanarkshire,2015,8,100
NHS Lanarkshire,2016,7,100
NHS Lanarkshire,2017,6,100
NHS Lanarkshire,2018,10,100
NHS Lanarkshire,2019,12,100
NHS Lanarkshire,2020,7,100
NHS Lanarkshire,2021,6,100
NHS Lothian,2003,3,100
NHS Lothian,2004,7,100
NHS Lothian,2005,4,100
NHS Lothian,2006,7,100
NHS Lothian,2007,8,100
NHS Lothian,2008,10,100
NHS Lothian,2009,33,100
NHS Lothian,2010,41,100
NHS Lothian,2011,53,100
NHS Lothian,2012,81,100
NHS Lothian,2013,95,100
NHS Lothian,2014,102,100
NHS Lothian,2015,94,100
NHS Lothian,2016,114,100
NHS Lothian,2017,162,100
NHS Lothian,2018,154,100
NHS Lothian,2019,145,100
NHS Lothian,2020,152,100
NHS Lothian,2021,56,100
NHS Shetland,1999,1,100
NHS Tayside,1998,10,100
NHS Tayside,1999,6,100
NHS Tayside,2000,4,100
NHS Tayside,2001,7,100
NHS Tayside,2002,9,100
NHS Tayside,2003,10,100
NHS Tayside,2004,6,100
NHS Tayside,2005,8,100
NHS Tayside,2006,9,100
NHS Tayside,2007,6,100
NHS Tayside,2008,4,100
NHS Tayside,2009,14,100
NHS Tayside,2010,19,100
NHS Tayside,2011,8,100
NHS Tayside,2012,2,100
NHS Tayside,2013,9,100
NHS Tayside,2014,8,100
NHS Tayside,2015,1,100
NHS Tayside,2016,6,100
NHS Tayside,2017,5,100
NHS Tayside,2018,6,100
NHS Tayside,2019,1,100
NHS Tayside,2020,6,100
NHS Tayside,2021,2,100
NHS Western Isles,2020,1,100
